"18.018157, 53.116316",Szkoły podstawowe,Bydgoszcz
"17.739401, 54.538778",Szkoły podstawowe,Lębork
"20.981521, 52.201091",Szkoły podstawowe,Warszawa
"20.974134, 52.240074",Szkoły podstawowe,Warszawa
"19.663741, 54.058154",Szkoły podstawowe,Pasłęk
"23.181989, 53.156679",Szkoły podstawowe,Białystok
"23.196489, 53.125044",Szkoły podstawowe,Białystok
"19.488056, 49.883011",Szkoły podstawowe,Wadowice
"23.161784, 53.142477",Szkoły podstawowe,Białystok
"23.190479, 53.111338",Szkoły podstawowe,Białystok
"23.122079, 53.131157",Szkoły podstawowe,Białystok
"19.914921, 50.070113",Szkoły podstawowe,Kraków
"23.189430, 53.132805",Szkoły podstawowe,Białystok
"23.181029, 53.117849",Szkoły podstawowe,Białystok
"19.455082, 50.345188",Szkoły podstawowe,Dąbrowa Górnicza
"23.141611, 53.140811",Szkoły podstawowe,Białystok
"23.130845, 53.149640",Szkoły podstawowe,Białystok
"23.178658, 53.138607",Szkoły podstawowe,Białystok
"21.021255, 52.076941",Szkoły podstawowe,Piaseczno
"19.604327, 51.901648",Szkoły podstawowe,Stryków
"19.604523, 51.897327",Szkoły podstawowe,Stryków
"19.559312, 51.869662",Szkoły podstawowe,Dobra
"16.475382, 53.277056",Szkoły podstawowe,Wałcz
"19.528005, 49.918183",Szkoły podstawowe,Witanowice
"21.687430, 50.574591",Szkoły podstawowe,Tarnobrzeg
"21.686226, 50.585814",Szkoły podstawowe,Tarnobrzeg
"22.699311, 51.214095",Szkoły podstawowe,Świdnik
"22.586635, 51.243012",Szkoły podstawowe,Lublin
"22.550073, 51.225875",Szkoły podstawowe,Lublin
"18.599837, 54.232666",Szkoły podstawowe,Wojanowo
"22.541061, 51.260810",Szkoły podstawowe,Lublin
"22.587978, 51.235250",Szkoły podstawowe,Lublin
"16.466542, 53.264148",Szkoły podstawowe,Wałcz
"22.550597, 51.272808",Szkoły podstawowe,Lublin
"22.518192, 51.237584",Szkoły podstawowe,Lublin
"21.711829, 50.648583",Szkoły podstawowe,Zawierzbie
"21.733044, 50.687025",Szkoły podstawowe,Sandomierz
"21.741991, 50.684678",Szkoły podstawowe,Sandomierz
"22.569959, 51.213555",Szkoły podstawowe,Lublin
"23.349928, 53.650813",Szkoły podstawowe,Białostocka
"15.502696, 52.593514",Szkoły podstawowe,Skwierzyna
"14.726272, 51.958125",Szkoły podstawowe,Gubin
"21.744715, 50.688308",Szkoły podstawowe,Sandomierz
"21.892147, 49.978825",Szkoły podstawowe,Mogielnica
"18.912685, 52.246577",Szkoły podstawowe,Kłodawa
"22.632011, 51.261757",Szkoły podstawowe,Lublin
"22.518655, 51.223667",Szkoły podstawowe,Lublin
"22.634057, 51.219563",Szkoły podstawowe,Lublin
"22.492689, 51.230246",Szkoły podstawowe,Lublin
"20.000003, 50.097573",Szkoły podstawowe,Kraków
"17.974140, 54.119941",Szkoły podstawowe,Kościerzyna
"19.953113, 50.067566",Szkoły podstawowe,Kraków
"22.505889, 51.171231",Szkoły podstawowe,Lublin
"19.368188, 49.972671",Szkoły podstawowe,Piotrowice
"21.764968, 50.667590",Szkoły podstawowe,Sandomierz
"19.498031, 49.872303",Szkoły podstawowe,Wadowice
"19.016214, 54.335832",Szkoły podstawowe,Jantar
"18.580441, 54.377102",Szkoły podstawowe,Gdańsk
"18.015010, 53.135257",Szkoły podstawowe,Bydgoszcz
"18.696570, 53.924913",Szkoły podstawowe,Pelplin
"19.207100, 53.752105",Szkoły podstawowe,Prabuty
"16.977254, 54.001990",Szkoły podstawowe,Miastko
"16.973521, 53.994044",Szkoły podstawowe,Miastko
"19.430781, 54.376867",Szkoły podstawowe,Krynica Morska
"19.423791, 51.820539",Szkoły podstawowe,Łódź
"16.717516, 53.145957",Szkoły podstawowe,Piła
"16.750085, 53.164298",Szkoły podstawowe,Piła
"16.783178, 53.152931",Szkoły podstawowe,Piła
"16.751713, 53.157726",Szkoły podstawowe,Piła
"16.750116, 53.154958",Szkoły podstawowe,Piła
"16.211535, 54.195126",Szkoły podstawowe,Koszalin
"20.127811, 54.115306",Szkoły podstawowe,Orneta
"20.134854, 54.115347",Szkoły podstawowe,Orneta
"20.730368, 54.324765",Szkoły podstawowe,Bezledy
"20.802737, 54.259815",Szkoły podstawowe,Bartoszyce
"20.815677, 54.259223",Szkoły podstawowe,Bartoszyce
"14.486351, 53.253357",Szkoły podstawowe,Gryfino
"21.502953, 52.469286",Szkoły podstawowe,Mokra Wieś
